title,author,link,hours,mins,total_mins,total_hours,total_days
The Silmarillion,"J. R. R. Tolkien, Christopher Tolkien",https://www.audible.com/pd/The-Silmarillion-Audiobook/B0C5MPMQYX?qid=1686833292&sr=1-62&ref=a_search_c3_lProduct_4_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,19.0,24.0,1164.0,19.4,0.81
Xeno Slayer: A Science Fiction Action Adventure,"Dan Raxor, Tyler Bowman",https://www.audible.com/pd/Xeno-Slayer-A-Science-Fiction-Action-Adventure-Audiobook/B0C5Y57WNS?qid=1686833292&sr=1-63&ref=a_search_c3_lProduct_4_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,21.0,621.0,10.35,0.43
From the World of Percy Jackson: Sun and the Star,"Rick Riordan, Mark Oshiro",https://www.audible.com/pd/From-the-World-of-Percy-Jackson-Sun-and-the-Star-Audiobook/B0C1T9RF78?qid=1686833292&sr=1-64&ref=a_search_c3_lProduct_4_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,13.0,30.0,810.0,13.5,0.56
Domestic Extremist,Peachy Keenan,https://www.audible.com/pd/Domestic-Extremist-Audiobook/B0C5S1GCYD?qid=1686833292&sr=1-65&ref=a_search_c3_lProduct_4_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,,,,
Aftermath,Craig Alanson,https://www.audible.com/pd/Aftermath-Audiobook/B0C6FLJTM8?qid=1686833292&sr=1-66&ref=a_search_c3_lProduct_4_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,21.0,6.0,1266.0,21.1,0.88
The Longmire Defense,Craig Johnson,https://www.audible.com/pd/The-Longmire-Defense-Audiobook/B0C5NVTQZJ?qid=1686833292&sr=1-67&ref=a_search_c3_lProduct_4_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,15.0,675.0,11.25,0.47
My Magnolia Summer,Victoria Benton Frank,https://www.audible.com/pd/My-Magnolia-Summer-Audiobook/B0C4M39BHN?qid=1686833292&sr=1-68&ref=a_search_c3_lProduct_4_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,36.0,696.0,11.6,0.48
Offside Hearts,Nikki Lawson,https://www.audible.com/pd/Offside-Hearts-Audiobook/B0C4VLH56J?qid=1686833292&sr=1-69&ref=a_search_c3_lProduct_4_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,13.0,27.0,807.0,13.45,0.56
Breaker of Horizons 2,NoDragons,https://www.audible.com/pd/Breaker-of-Horizons-2-Audiobook/B0C414Y17S?qid=1686833292&sr=1-70&ref=a_search_c3_lProduct_4_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,16.0,22.0,982.0,16.37,0.68
The Primal Hunter 5,Zogarth,https://www.audible.com/pd/The-Primal-Hunter-5-Audiobook/B0C34GCYVT?qid=1686833292&sr=1-71&ref=a_search_c3_lProduct_4_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,17.0,47.0,1067.0,17.78,0.74
Forsaken Crown,"J.N. Chaney, Scott Moon",https://www.audible.com/pd/Forsaken-Crown-Audiobook/B0C6YHMGC8?qid=1686833292&sr=1-72&ref=a_search_c3_lProduct_4_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,34.0,694.0,11.57,0.48
Death at the Chateau,Ian Moore,https://www.audible.com/pd/Death-at-the-Chateau-Audiobook/B0C6FRWVWT?qid=1686833292&sr=1-73&ref=a_search_c3_lProduct_4_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,23.0,443.0,7.38,0.31
The Undertow,Jeff Sharlet,https://www.audible.com/pd/The-Undertow-Audiobook/B0C2DBS3RT?qid=1686833292&sr=1-74&ref=a_search_c3_lProduct_4_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,45.0,705.0,11.75,0.49
Fourth Wing,Rebecca Yarros,https://www.audible.com/pd/Fourth-Wing-Audiobook/B0BVD25SYT?qid=1686833292&sr=1-75&ref=a_search_c3_lProduct_4_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,20.0,47.0,1247.0,20.78,0.87
The Sunny Side,Lily Morton,https://www.audible.com/pd/The-Sunny-Side-Audiobook/B0C7JP9FK9?qid=1686833292&sr=1-76&ref=a_search_c3_lProduct_4_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,37.0,697.0,11.62,0.48
Battleborne Book IV: Dungeon Master,Dave Willmarth,https://www.audible.com/pd/Battleborne-Book-IV-Dungeon-Master-Audiobook/B0C6YGZ2PR?qid=1686833292&sr=1-77&ref=a_search_c3_lProduct_4_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,15.0,28.0,928.0,15.47,0.64
Ward D,Freida McFadden,https://www.audible.com/pd/Ward-D-Audiobook/B0C34FH5VF?qid=1686833292&sr=1-78&ref=a_search_c3_lProduct_4_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,20.0,440.0,7.33,0.31
Recoding America,Jennifer Pahlka,https://www.audible.com/pd/Recoding-America-Audiobook/B0C5S4MHCN?qid=1686833292&sr=1-79&ref=a_search_c3_lProduct_4_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,37.0,577.0,9.62,0.4
Dangerous,Tamara Leigh,https://www.audible.com/pd/Dangerous-Audiobook/B0C6VRKS6D?qid=1686833292&sr=1-80&ref=a_search_c3_lProduct_4_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=N4HRKQYD471254B4SBQV&pageLoadId=4NznffzMxSUaYZAg&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,37.0,517.0,8.62,0.36
Whiskey Poison,Nicole Fox,https://www.audible.com/pd/Whiskey-Poison-Audiobook/B0C7F936ZS?qid=1686833314&sr=1-81&ref=a_search_c3_lProduct_5_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,15.0,2.0,902.0,15.03,0.63
Murder in Bermuda,"James Patterson, Aaron Tracy, Thaddeus McCants",https://www.audible.com/pd/Murder-in-Bermuda-Audiobook/B0C4M2ZKT4?qid=1686833314&sr=1-82&ref=a_search_c3_lProduct_5_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,4.0,,,,
Villain Era,Luna Pierce,https://www.audible.com/pd/Villain-Era-Audiobook/B0C5F48ZYY?qid=1686833314&sr=1-83&ref=a_search_c3_lProduct_5_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,12.0,29.0,749.0,12.48,0.52
One Thought Scares Me...,Richard Dreyfuss,https://www.audible.com/pd/One-Thought-Scares-Me-Audiobook/B0C4Q9YCHV?qid=1686833314&sr=1-84&ref=a_search_c3_lProduct_5_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,6.0,24.0,384.0,6.4,0.27
The Umbral Storm,Alec Hutson,https://www.audible.com/pd/The-Umbral-Storm-Audiobook/B0C5KJS6BV?qid=1686833314&sr=1-85&ref=a_search_c3_lProduct_5_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,23.0,20.0,1400.0,23.33,0.97
False Truth,Helena Marchmont,https://www.audible.com/pd/False-Truth-Audiobook/B0C4LMLWPL?qid=1686833314&sr=1-86&ref=a_search_c3_lProduct_5_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,2.0,56.0,176.0,2.93,0.12
"Crucial Influence, Third Edition","Joseph Grenny, Kerry Patterson, David Maxfield, Ron McMillan, Al Switzler",https://www.audible.com/pd/Crucial-Influence-Third-Edition-Audiobook/B0C544GP2J?qid=1686833314&sr=1-87&ref=a_search_c3_lProduct_5_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,5.0,33.0,333.0,5.55,0.23
Tough Titties,Laura Belgray,https://www.audible.com/pd/Tough-Titties-Audiobook/B0BJ1544BY?qid=1686833314&sr=1-88&ref=a_search_c3_lProduct_5_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,13.0,493.0,8.22,0.34
Legacy of the M'Zee,Chris Vines,https://www.audible.com/pd/Legacy-of-the-MZee-Audiobook/B0C7FR7SWR?qid=1686833314&sr=1-89&ref=a_search_c3_lProduct_5_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,13.0,21.0,801.0,13.35,0.56
100 Places to See After You Die,Ken Jennings,https://www.audible.com/pd/100-Places-to-See-After-You-Die-Audiobook/B0BK7HGD6Z?qid=1686833314&sr=1-90&ref=a_search_c3_lProduct_5_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,18.0,438.0,7.3,0.3
Manhood,Josh Hawley,https://www.audible.com/pd/Manhood-Audiobook/B0C3RWZ5S7?qid=1686833314&sr=1-91&ref=a_search_c3_lProduct_5_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,6.0,58.0,418.0,6.97,0.29
Blood Prophecy,Mary Rundle,https://www.audible.com/pd/Blood-Prophecy-Audiobook/B0C5F5RJ6N?qid=1686833314&sr=1-92&ref=a_search_c3_lProduct_5_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,38.0,698.0,11.63,0.48
World Agricultural Technology Book 2023,David George,https://www.audible.com/pd/World-Agricultural-Technology-Book-2023-Audiobook/B0C674TJFY?qid=1686833314&sr=1-93&ref=a_search_c3_lProduct_5_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,5.0,58.0,358.0,5.97,0.25
Widow Lake,Rita Herron,https://www.audible.com/pd/Widow-Lake-Audiobook/B0C5JV96FY?qid=1686833314&sr=1-94&ref=a_search_c3_lProduct_5_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,42.0,522.0,8.7,0.36
Royally in Trouble,Meghan Quinn,https://www.audible.com/pd/Royally-in-Trouble-Audiobook/B0C6B2XRYN?qid=1686833314&sr=1-95&ref=a_search_c3_lProduct_5_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,14.0,58.0,898.0,14.97,0.62
Letter Late than Never,Lauren Connolly,https://www.audible.com/pd/Letter-Late-than-Never-Audiobook/B0C2ZQKPFQ?qid=1686833314&sr=1-96&ref=a_search_c3_lProduct_5_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,20.0,560.0,9.33,0.39
Jackson,Nyssa Kathryn,https://www.audible.com/pd/Jackson-Audiobook/B0C5Y6T7QR?qid=1686833314&sr=1-97&ref=a_search_c3_lProduct_5_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,23.0,443.0,7.38,0.31
The Deborah Mantle,Christy Johnston,https://www.audible.com/pd/The-Deborah-Mantle-Audiobook/B0C5FP6BPZ?qid=1686833314&sr=1-98&ref=a_search_c3_lProduct_5_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,46.0,466.0,7.77,0.32
Vengeance Is Mine,"Richard E. Turley, Barbara Jones Brown",https://www.audible.com/pd/Vengeance-Is-Mine-Audiobook/B0C6FPQFB5?qid=1686833314&sr=1-99&ref=a_search_c3_lProduct_5_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,17.0,29.0,1049.0,17.48,0.73
The Orc from the Office,Kate Prior,https://www.audible.com/pd/The-Orc-from-the-Office-Audiobook/B0C544HRPR?qid=1686833314&sr=1-100&ref=a_search_c3_lProduct_5_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,4.0,24.0,264.0,4.4,0.18
Whiskey Poison,Nicole Fox,https://www.audible.com/pd/Whiskey-Poison-Audiobook/B0C7F936ZS?qid=1686833314&sr=1-81&ref=a_search_c3_lProduct_5_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,15.0,2.0,902.0,15.03,0.63
Murder in Bermuda,"James Patterson, Aaron Tracy, Thaddeus McCants",https://www.audible.com/pd/Murder-in-Bermuda-Audiobook/B0C4M2ZKT4?qid=1686833314&sr=1-82&ref=a_search_c3_lProduct_5_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,4.0,,,,
Villain Era,Luna Pierce,https://www.audible.com/pd/Villain-Era-Audiobook/B0C5F48ZYY?qid=1686833314&sr=1-83&ref=a_search_c3_lProduct_5_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,12.0,29.0,749.0,12.48,0.52
One Thought Scares Me...,Richard Dreyfuss,https://www.audible.com/pd/One-Thought-Scares-Me-Audiobook/B0C4Q9YCHV?qid=1686833314&sr=1-84&ref=a_search_c3_lProduct_5_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,6.0,24.0,384.0,6.4,0.27
The Umbral Storm,Alec Hutson,https://www.audible.com/pd/The-Umbral-Storm-Audiobook/B0C5KJS6BV?qid=1686833314&sr=1-85&ref=a_search_c3_lProduct_5_5&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,23.0,20.0,1400.0,23.33,0.97
False Truth,Helena Marchmont,https://www.audible.com/pd/False-Truth-Audiobook/B0C4LMLWPL?qid=1686833314&sr=1-86&ref=a_search_c3_lProduct_5_6&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,2.0,56.0,176.0,2.93,0.12
"Crucial Influence, Third Edition","Joseph Grenny, Kerry Patterson, David Maxfield, Ron McMillan, Al Switzler",https://www.audible.com/pd/Crucial-Influence-Third-Edition-Audiobook/B0C544GP2J?qid=1686833314&sr=1-87&ref=a_search_c3_lProduct_5_7&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,5.0,33.0,333.0,5.55,0.23
Tough Titties,Laura Belgray,https://www.audible.com/pd/Tough-Titties-Audiobook/B0BJ1544BY?qid=1686833314&sr=1-88&ref=a_search_c3_lProduct_5_8&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,13.0,493.0,8.22,0.34
Legacy of the M'Zee,Chris Vines,https://www.audible.com/pd/Legacy-of-the-MZee-Audiobook/B0C7FR7SWR?qid=1686833314&sr=1-89&ref=a_search_c3_lProduct_5_9&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,13.0,21.0,801.0,13.35,0.56
100 Places to See After You Die,Ken Jennings,https://www.audible.com/pd/100-Places-to-See-After-You-Die-Audiobook/B0BK7HGD6Z?qid=1686833314&sr=1-90&ref=a_search_c3_lProduct_5_10&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,18.0,438.0,7.3,0.3
Manhood,Josh Hawley,https://www.audible.com/pd/Manhood-Audiobook/B0C3RWZ5S7?qid=1686833314&sr=1-91&ref=a_search_c3_lProduct_5_11&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,6.0,58.0,418.0,6.97,0.29
Blood Prophecy,Mary Rundle,https://www.audible.com/pd/Blood-Prophecy-Audiobook/B0C5F5RJ6N?qid=1686833314&sr=1-92&ref=a_search_c3_lProduct_5_12&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,38.0,698.0,11.63,0.48
World Agricultural Technology Book 2023,David George,https://www.audible.com/pd/World-Agricultural-Technology-Book-2023-Audiobook/B0C674TJFY?qid=1686833314&sr=1-93&ref=a_search_c3_lProduct_5_13&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,5.0,58.0,358.0,5.97,0.25
Widow Lake,Rita Herron,https://www.audible.com/pd/Widow-Lake-Audiobook/B0C5JV96FY?qid=1686833314&sr=1-94&ref=a_search_c3_lProduct_5_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,42.0,522.0,8.7,0.36
Royally in Trouble,Meghan Quinn,https://www.audible.com/pd/Royally-in-Trouble-Audiobook/B0C6B2XRYN?qid=1686833314&sr=1-95&ref=a_search_c3_lProduct_5_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,14.0,58.0,898.0,14.97,0.62
Letter Late than Never,Lauren Connolly,https://www.audible.com/pd/Letter-Late-than-Never-Audiobook/B0C2ZQKPFQ?qid=1686833314&sr=1-96&ref=a_search_c3_lProduct_5_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,20.0,560.0,9.33,0.39
Jackson,Nyssa Kathryn,https://www.audible.com/pd/Jackson-Audiobook/B0C5Y6T7QR?qid=1686833314&sr=1-97&ref=a_search_c3_lProduct_5_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,23.0,443.0,7.38,0.31
The Deborah Mantle,Christy Johnston,https://www.audible.com/pd/The-Deborah-Mantle-Audiobook/B0C5FP6BPZ?qid=1686833314&sr=1-98&ref=a_search_c3_lProduct_5_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,46.0,466.0,7.77,0.32
Vengeance Is Mine,"Richard E. Turley, Barbara Jones Brown",https://www.audible.com/pd/Vengeance-Is-Mine-Audiobook/B0C6FPQFB5?qid=1686833314&sr=1-99&ref=a_search_c3_lProduct_5_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,17.0,29.0,1049.0,17.48,0.73
The Orc from the Office,Kate Prior,https://www.audible.com/pd/The-Orc-from-the-Office-Audiobook/B0C544HRPR?qid=1686833314&sr=1-100&ref=a_search_c3_lProduct_5_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=80CBZDJZNJP27781NDPX&pageLoadId=pd2HgUN1a0XT3sek&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,4.0,24.0,264.0,4.4,0.18
Deadly Fate,Angela Marsons,https://www.audible.com/pd/Deadly-Fate-Audiobook/B0C4LT8S5D?qid=1686833329&sr=1-101&ref=a_search_c3_lProduct_6_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=MZQEJFMDT3DVBZZDTHJR&pageLoadId=nzRJx3y6mBVrd3jO&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,14.0,494.0,8.23,0.34
The Alien Anomaly,Amanda M. Lee,https://www.audible.com/pd/The-Alien-Anomaly-Audiobook/B0C66FG791?qid=1686833329&sr=1-102&ref=a_search_c3_lProduct_6_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=MZQEJFMDT3DVBZZDTHJR&pageLoadId=nzRJx3y6mBVrd3jO&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,52.0,532.0,8.87,0.37
