title,author,link,hours,mins,total_mins,total_hours,total_days
"One Nation Under Blackmail, Vol. 2",Whitney Alyse Webb,https://www.audible.com/pd/The-Sordid-Union-between-Intelligence-and-Organized-Crime-That-Gave-Rise-to-Jeffrey-Epstein-Audiobook/B0C6YSV5HG?qid=1686833249&sr=1-14&ref=a_search_c3_lProduct_1_14&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,15.0,50.0,950.0,15.83,0.66
Clue Krewe,Jana DeLeon,https://www.audible.com/pd/Clue-Krewe-Audiobook/B0C4BC2QHP?qid=1686833249&sr=1-15&ref=a_search_c3_lProduct_1_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,1.0,601.0,10.02,0.42
Aster Fall,David North,https://www.audible.com/pd/Aster-Fall-Audiobook/B0C62DZMT7?qid=1686833249&sr=1-16&ref=a_search_c3_lProduct_1_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,20.0,22.0,1222.0,20.37,0.85
Sweet Regret,K. Bromberg,https://www.audible.com/pd/Sweet-Regret-Audiobook/B0C5JSDJWV?qid=1686833249&sr=1-17&ref=a_search_c3_lProduct_1_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,24.0,564.0,9.4,0.39
Shattersoul,Kyle Kirrin,https://www.audible.com/pd/Shattersoul-Audiobook/B0C4V86KCK?qid=1686833249&sr=1-18&ref=a_search_c3_lProduct_1_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,20.0,15.0,1215.0,20.25,0.84
Good as Gold,Sarina Bowen,https://www.audible.com/pd/Good-as-Gold-Audiobook/B0C59JBN4V?qid=1686833249&sr=1-19&ref=a_search_c3_lProduct_1_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=2N3WC544EF7JH96X2T6R&pageLoadId=9Xdhx9r00ICOhaSf&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,43.0,643.0,10.72,0.45
Central Park West,James Comey,https://www.audible.com/pd/Central-Park-West-Audiobook/B0C382PL2G?qid=1686833264&sr=1-21&ref=a_search_c3_lProduct_2_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,10.0,35.0,635.0,10.58,0.44
Terms and Conditions,Lauren Asher,https://www.audible.com/pd/Terms-and-Conditions-Audiobook/B0C4WKV186?qid=1686833264&sr=1-22&ref=a_search_c3_lProduct_2_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,13.0,12.0,792.0,13.2,0.55
Primeiro Milhão [First Million],Raiam Santos,https://www.audible.com/pd/Primeiro-Milhao-First-Million-Audiobook/B0C5NBJGTM?qid=1686833264&sr=1-23&ref=a_search_c3_lProduct_2_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,2.0,47.0,167.0,2.78,0.12
Tracking Justice,"L.T. Ryan, C.R. Gray",https://www.audible.com/pd/Tracking-Justice-Audiobook/B0C6R5Y23R?qid=1686833264&sr=1-24&ref=a_search_c3_lProduct_2_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,25.0,505.0,8.42,0.35
