mp_name,mp_vote
Hon. Samuel Arama ,YES
Hon. Geoffrey Ekesa ,YES
Hon. Bernard Kitur ,YES
Hon. Rebecca Tonkei ,YES
Hon. Lemanken Aramat ,YES
Hon. Agnes Pareiyo ,YES
Hon. Ole Ntutu Kitilai ,YES
Hon. Gabriel Koshal Tongoyo ,YES
Hon. Emmanuel Wangwe ,NO
Hon. Martin Peters Owino ,NO
Hon. George Macharia Kariuki ,YES
Hon. Charity Kathambi ,YES
Hon. Dawood Rahim ,YES
Hon Joash Nyamache ,YES
Hon Aduma Owuor ,NO
Hon. Faith Gitau ,YES
Hon. Jared Okelo ,NO
Hon. Tom Mboya Odege ,NO
Hon. Rahab Mukami Wachira ,YES
Hon. Duncan Mathenge ,YES
Hon. Michael Mwangi Muchira ,YES
Hon. David Njuguna ,YES
Hon. Michael Wambugu ,YES
Hon. David Losiakou ,NO
Hon. Anthony Kenga ,YES
Hon. Lilian Gogo ,NO
Hon. Otiende Amollo ,ABSENT
Hon. Paul Kibet Chebor ,YES
Hon. Augustine Kamande Mwafrika ,YES
Hon. TJ Kajwang ,SUSPENDED
Hon. Simon King'ara ,YES
Hon. Clement Sloya ,YES
Hon. Caleb Amisi ,NO
Hon. Dido Ali Rasso ,YES
Hon Pauline Lenguris ,YES
Hon. Jackson Lekumontare ,YES
Hon. Dominic Letipita ,YES
Hon. Naisula Lesuuda ,NO
Hon. James Nyikal ,NO
Hon. Fredrick Lusuli ,YES
Hon. Christine Ombaka ,NO
Hon. Peter Lochakapong ,YES
Hon. Kipsang Kemei ,YES
Hon. John Waluke ,YES
Hon. Francis Kipyegon ,YES
Hon. Shadrack Mwiti ,YES
Hon. Sylvanus Osoro ,YES
Hon. Amos Mwago ,NO
Hon. Millie Odhiambo ,SUSPENDED
Hon. Caroli Omondi ,YES
Hon. Samuel Kinuthia ,YES
Hon. Junet Mohamed ,NO
Hon. Peter Masara ,NO
Hon. Amina Dika Abdullahi ,YES
Hon. John Okano Bwire ,NO
Hon. Edward Kaunya ,NO
Hon. Mary Emaase ,YES
Hon. Geoffrey Wandeto ,YES
Hon. George Murugara ,ABSENT
Hon. Alice Wambui Ng'ang'a ,YES
Hon. Kassait Kamket ,YES
Hon. Lawrence Buuri ,YES
Hon. John Kanyuithia ,YES
Hon. Julius Melly ,YES
Hon. John Murumba ,YES
Hon. Lilian Chebet Siyoi ,YES
Hon. Janet Sitienei ,YES
Hon. Cecilia Asinyen ,YES
Hon. Joseph Namwar ,YES
Hon. Nicholas Ngikolong ,YES
Hon. Daniel Nanok ,YES
Hon. David Ouma Ochieng ,YES
Hon. Opiyo Wandayi ,NO
Hon. Kivai Kagesi ,YES
Hon. Beatrice Adagala ,YES
Hon. Hamis Chome Abdi ,ABSENT
Hon. Adow Mohamed Aden ,YES
Hon. Martin Pepela ,YES
Hon. Daniel Wanyama ,YES
Hon. Stephen Mogaka ,YES
Hon. Rael Chepkemoi ,YES
