date,home_team,score,away_team
05-11-2022,Everton,0 - 2,Leicester
05-11-2022,Nott'm Forest,2 - 2,Brentford
05-11-2022,Nott'm Forest,2 - 2,Brentford
05-11-2022,Leeds,4 - 3,Bournemouth
05-11-2022,Wolves,2 - 3,Brighton
05-11-2022,Man City,2 - 1,Fulham
05-08-2022,Crystal Palace,0 - 2,Arsenal
05-08-2022,Crystal Palace,0 - 2,Arsenal
05-04-2023,Man United,1 - 0,Brentford
05-04-2023,West Ham,1 - 5,Newcastle
05-04-2023,Man United,1 - 0,Brentford
05-04-2023,West Ham,1 - 5,Newcastle
05-03-2023,Nott'm Forest,2 - 2,Everton
05-03-2023,Liverpool,7 - 0,Man United
05-03-2023,Nott'm Forest,2 - 2,Everton
05-03-2023,Liverpool,7 - 0,Man United
05-02-2023,Nott'm Forest,1 - 0,Leeds
05-02-2023,Nott'm Forest,1 - 0,Leeds
05-02-2023,Tottenham,1 - 0,Man City
05-02-2023,Tottenham,1 - 0,Man City
05-01-2023,Chelsea,0 - 1,Man City
05-01-2023,Chelsea,0 - 1,Man City
04-09-2022,Brighton,5 - 2,Leicester
04-09-2022,Man United,3 - 1,Arsenal
04-09-2022,Man United,3 - 1,Arsenal
04-09-2022,Brighton,5 - 2,Leicester
04-05-2023,Brighton,1 - 0,Man United
04-05-2023,Brighton,1 - 0,Man United
04-04-2023,Bournemouth,0 - 2,Brighton
04-04-2023,Leeds,2 - 1,Nott'm Forest
04-04-2023,Leicester,1 - 2,Aston Villa
04-04-2023,Chelsea,0 - 0,Liverpool
04-04-2023,Chelsea,0 - 0,Liverpool
04-04-2023,Bournemouth,0 - 2,Brighton
04-04-2023,Leeds,2 - 1,Nott'm Forest
04-04-2023,Leicester,1 - 2,Aston Villa
04-03-2023,Arsenal,3 - 2,Bournemouth
04-03-2023,Brighton,4 - 0,West Ham
04-03-2023,Wolves,1 - 0,Tottenham
04-03-2023,Aston Villa,1 - 0,Crystal Palace
04-03-2023,Arsenal,3 - 2,Bournemouth
04-03-2023,Wolves,1 - 0,Tottenham
04-03-2023,Aston Villa,1 - 0,Crystal Palace
04-03-2023,Chelsea,1 - 0,Leeds
04-03-2023,Brighton,4 - 0,West Ham
04-03-2023,Man City,2 - 0,Newcastle
04-03-2023,Southampton,1 - 0,Leicester
04-03-2023,Chelsea,1 - 0,Leeds
04-03-2023,Southampton,1 - 0,Leicester
04-03-2023,Man City,2 - 0,Newcastle
04-02-2023,Newcastle,1 - 1,West Ham
04-02-2023,Aston Villa,2 - 4,Leicester
04-02-2023,Aston Villa,2 - 4,Leicester
04-02-2023,Brighton,1 - 0,Bournemouth
04-02-2023,Brentford,3 - 0,Southampton
04-02-2023,Brentford,3 - 0,Southampton
04-02-2023,Wolves,3 - 0,Liverpool
04-02-2023,Man United,2 - 1,Crystal Palace
04-02-2023,Brighton,1 - 0,Bournemouth
04-02-2023,Wolves,3 - 0,Liverpool
04-02-2023,Everton,1 - 0,Arsenal
04-02-2023,Newcastle,1 - 1,West Ham
04-02-2023,Everton,1 - 0,Arsenal
04-02-2023,Man United,2 - 1,Crystal Palace
04-01-2023,Leeds,2 - 2,West Ham
04-01-2023,Crystal Palace,0 - 4,Tottenham
04-01-2023,Aston Villa,1 - 1,Wolves
04-01-2023,Crystal Palace,0 - 4,Tottenham
04-01-2023,Southampton,0 - 1,Nott'm Forest
04-01-2023,Leeds,2 - 2,West Ham
04-01-2023,Southampton,0 - 1,Nott'm Forest
04-01-2023,Aston Villa,1 - 1,Wolves
03-10-2022,Leicester,4 - 0,Nott'm Forest
03-10-2022,Leicester,4 - 0,Nott'm Forest
03-09-2022,Aston Villa,1 - 1,Man City
03-09-2022,Wolves,1 - 0,Southampton
03-09-2022,Newcastle,0 - 0,Crystal Palace
03-09-2022,Nott'm Forest,2 - 3,Bournemouth
03-09-2022,Everton,0 - 0,Liverpool
03-09-2022,Nott'm Forest,2 - 3,Bournemouth
03-09-2022,Brentford,5 - 2,Leeds
03-09-2022,Aston Villa,1 - 1,Man City
03-09-2022,Wolves,1 - 0,Southampton
03-09-2022,Chelsea,2 - 1,West Ham
03-09-2022,Everton,0 - 0,Liverpool
03-09-2022,Chelsea,2 - 1,West Ham
03-09-2022,Brentford,5 - 2,Leeds
03-09-2022,Newcastle,0 - 0,Crystal Palace
03-09-2022,Tottenham,2 - 1,Fulham
03-09-2022,Tottenham,2 - 1,Fulham
03-05-2023,Man City,3 - 0,West Ham
03-05-2023,Liverpool,1 - 0,Fulham
03-05-2023,Man City,3 - 0,West Ham
03-05-2023,Liverpool,1 - 0,Fulham
03-04-2023,Everton,1 - 1,Tottenham
03-04-2023,Everton,1 - 1,Tottenham
03-02-2023,Chelsea,0 - 0,Fulham
03-02-2023,Chelsea,0 - 0,Fulham
03-01-2023,Leicester,0 - 1,Fulham
03-01-2023,Man United,3 - 0,Bournemouth
03-01-2023,Arsenal,0 - 0,Newcastle
03-01-2023,Arsenal,0 - 0,Newcastle
03-01-2023,Leicester,0 - 1,Fulham
03-01-2023,Everton,1 - 4,Brighton
03-01-2023,Everton,1 - 4,Brighton
03-01-2023,Man United,3 - 0,Bournemouth
02-10-2022,Man City,6 - 3,Man United
02-10-2022,Leeds,0 - 0,Aston Villa
02-10-2022,Man City,6 - 3,Man United
02-10-2022,Leeds,0 - 0,Aston Villa
02-05-2023,Arsenal,3 - 1,Chelsea
02-05-2023,Arsenal,3 - 1,Chelsea
02-04-2023,Newcastle,2 - 0,Man United
02-04-2023,Newcastle,2 - 0,Man United
02-04-2023,West Ham,1 - 0,Southampton
02-04-2023,West Ham,1 - 0,Southampton
02-01-2023,Brentford,3 - 1,Liverpool
02-01-2023,Brentford,3 - 1,Liverpool
01-10-2022,West Ham,2 - 0,Wolves
01-10-2022,West Ham,2 - 0,Wolves
01-10-2022,Southampton,1 - 2,Everton
01-10-2022,Crystal Palace,1 - 2,Chelsea
01-10-2022,Southampton,1 - 2,Everton
01-10-2022,Arsenal,3 - 1,Tottenham
01-10-2022,Fulham,1 - 4,Newcastle
01-10-2022,Bournemouth,0 - 0,Brentford
01-10-2022,Liverpool,3 - 3,Brighton
01-10-2022,Fulham,1 - 4,Newcastle
01-10-2022,Arsenal,3 - 1,Tottenham
01-10-2022,Crystal Palace,1 - 2,Chelsea
01-10-2022,Bournemouth,0 - 0,Brentford
01-10-2022,Liverpool,3 - 3,Brighton
01-09-2022,Leicester,0 - 1,Man United
01-09-2022,Leicester,0 - 1,Man United
01-05-2023,Leicester,2 - 2,Everton
01-05-2023,Leicester,2 - 2,Everton
01-04-2023,Crystal Palace,2 - 1,Leicester
01-04-2023,Arsenal,4 - 1,Leeds
01-04-2023,Nott'm Forest,1 - 1,Wolves
01-04-2023,Brighton,3 - 3,Brentford
01-04-2023,Nott'm Forest,1 - 1,Wolves
01-04-2023,Arsenal,4 - 1,Leeds
01-04-2023,Man City,4 - 1,Liverpool
01-04-2023,Brighton,3 - 3,Brentford
01-04-2023,Bournemouth,2 - 1,Fulham
01-04-2023,Chelsea,0 - 2,Aston Villa
01-04-2023,Man City,4 - 1,Liverpool
01-04-2023,Chelsea,0 - 2,Aston Villa
01-04-2023,Bournemouth,2 - 1,Fulham
01-04-2023,Crystal Palace,2 - 1,Leicester
01-03-2023,Arsenal,4 - 0,Everton
01-03-2023,Liverpool,2 - 0,Wolves
01-03-2023,Arsenal,4 - 0,Everton
01-03-2023,Liverpool,2 - 0,Wolves
01-01-2023,Nott'm Forest,1 - 1,Chelsea
01-01-2023,Nott'm Forest,1 - 1,Chelsea
01-01-2023,Tottenham,0 - 2,Aston Villa
01-01-2023,Tottenham,0 - 2,Aston Villa
