property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 12,000,000",Kitengela,3,,2500 ft²,Leilach Properties
,"KSh 62,000,000",Lavington,5,,,Bright Homes Management
,"KSh 90,000,000","EL Molo Drive, Lavington",5,,5500 m²,Olympia Gold Real Estate
,"KSh 95,000,000",Karen,7,,,Newpoint Properties
,"KSh 26,000,000","Fourways Junction Estate, Kiambu Road",3,,,Royani Properties Limited
,"KSh 75,000,000",Mtwapa,4,,,Benford Homes
,"KSh 14,150,000","Ruiru-Githunguri Road, Ruiru",4,,,MK PROPERTIES
,"KSh 82,000,000","Ndege road Karen, Karen",6,,2023 m²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 85,000,000",Karen,5,,340 m²,Kenya Classic Homes
,"KSh 55,000,000",Lavington,5,,,Marini Homes
,Price not communicated,Lavington,5,,,Zyve
,"KSh 70,000,000",Nyandarua County,6,,10 ac,Metrocosmo Limited
,"KSh 6,250,000",Kitengela,3,,140 m²,Halsey Realtors
,"KSh 280,000,000","United Nations Ave, United nations Ave, Gigiri, Westlands",5,,1 ac,El Roi Properties
,"KSh 12,000,000",Kitengela,3,,464 m²,Litana Investments
,"KSh 135,000,000",Karen Hardy,6,,600 m²,Glo Realtors
,"KSh 48,000,000","Beach road, Nyali Area, Nyali",4,,2000 m²,Samfrance properties
,"KSh 38,000,000","Nyali Area, Nyali",4,,,Furaha Properties
,"KSh 6,000,000",Ongata Rongai,3,,500 m²,Leilach Properties
,"KSh 120,000,000","Loresho, Westlands",5,,7800 ft²,Olympia Gold Real Estate
,"KSh 28,000,000","near Kist, Kiambu road, Kiambu Road",4,,234 m²,Westside Real Estate
,"KSh 62,000,000",Lavington,4,,,Leti Realty Limited
,"KSh 16,000,000",Bamburi,5,,,Benford Homes
,"KSh 48,000,000",Lavington,4,,,Ring Kenya Ltd
,"KSh 16,500,000","Mtwapa, Broadway",4,,600 ft²,Sky Miles Properties
,"KSh 299,700,000","Mbagathi Ridge, Karen",5,,,Knight Frank Kenya
,"KSh 200,000,000","Nandi road, Karen",5,,544 m²,Mapema Properties
,"KSh 52,000,000",Lavington,4,,,Leti Realty Limited
,"KSh 65,000,000","Runda, Westlands",4,,,Coral Property International Ltd
,"KSh 22,000,000","Nyali Area, Nyali",3,,,Furaha Properties
,"KSh 45,000,000","Loresho, Westlands",4,,,Karengata Property Managers
,"KSh 14,500,000","Githunguri road, Ruiru",5,,,Centrum Properties
,"KSh 135,000,000",Karen,6,,,Pam Golding Properties
,"KSh 85,000,000","Nandi Road, Karen",5,,,Knight Frank Kenya
,"KSh 7,500,000",Ongata Rongai,4,,3000 ft²,Leilach Properties
,"KSh 17,000,000",Kitengela,4,,3200 ft²,Litana Investments
,"KSh 50,000,000","Lolldaiga, Nanyuki",3,,50 ac,Knight Frank Kenya
,"KSh 5,800,000",Ongata Rongai,3,,1800 ft²,Leilach Properties
,"KSh 75,000,000","Runda, Westlands",3,,,Splendor Holdings
,"KSh 6,000,000",Kiserian,3,,297 m²,Litana Investments
,"KSh 68,000,000",Lavington,4,,,Keensell Ventures LTD
,"KSh 36,000,000",Kiambu Road,4,,500 m²,Blessed Shelters Agency
,"KSh 67,000,000",Lavington,4,,,Leti Realty Limited
,"KSh 18,000,000","Parkwood Villas, Syokimau",4,,2950 m²,Crystal Valuers LTD
,"KSh 30,000,000","Nyali Area, Nyali",5,,,Benford Homes
,"KSh 30,000,000",Kiambu Road,4,,,Premise Realty
,"KSh 32,000,000",Kileleshwa,4,,,Pam Golding Properties
,"KSh 75,000,000","Nyali Area, Nyali",4,,,Benford Homes
,"KSh 40,000,000","Thika Greens Estate, Thika",4,,,Zyve
,"KSh 120,000,000","Karen miotoni, Karen",5,,540 m²,Mapema Properties
,"KSh 150,000,000",Karen,5,,,Hanspace Limited
,"KSh 56,000,000","Citymall, Nyali Area, Nyali",4,,,Highrise Properties Ltd
,"KSh 285,000,000","Kyuana, Kyuna, Westlands",5,,,Simkar Group Limited
,"KSh 31,000,000","KERARAPON DRIVE, Kerarapon drive, Ngong",5,,500 m²,Second Exodus Realtors
,"KSh 120,000,000","Ushirika Road, Karen Hardy",6,,,Knight Frank Kenya
,"KSh 120,000,000","Runda, Westlands",5,,,Ryden International
,"KSh 110,000,000","Kitisuru, Westlands",5,,,Trisums Investments Company Ltd
,"KSh 38,000,000","Nyali Area, Nyali",5,,,Benford Homes
,"KSh 14,500,000",Ngong,4,,500 m²,Leilach Properties
,"KSh 14,500,000",Kitengela,4,,281 m²,The Manis Real Estate
,"KSh 37,500,000","Mvuli Avenue, South C",4,,,Pam Golding Properties
,"KSh 55,000,000","Coral, Nyali, Nyali Area",4,,3500 m²,Ogaye Enterprises
,"KSh 9,250,000",Kenyatta Road,3,,250 m²,Unique Urban Homes
,"KSh 55,000,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 121,000,000",Lavington,6,,,Sky Limits Ventures
,"KSh 6,500,000",Ongata Rongai,3,,2000 ft²,Leilach Properties
,"KSh 90,000,000",Karen,5,,560 m²,Splendor Holdings
,"KSh 10,000,000","Matasia, Ngong",4,,,Havilaplus Estates Ltd
,"KSh 38,000,000","Posta, Mtwapa",6,,2000 m²,Sky Miles Properties
,"KSh 9,000,000",Kitengela,3,,5000 ft²,Litana Investments
,"KSh 120,000,000",Lavington,6,,,Hanspace Limited
,"KSh 148,500,000","hillview close, Spring Valley, Westlands",8,,,FAPCL Group
,"KSh 34,000,000",Nakuru,5,,,AXIS ASSETS LTD
,"KSh 5,500,000",Ngong,3,,1800 ft²,Leilach Properties
,"KSh 20,000,000","Mtwapa, Posta Mtwapa",4,,600 m²,Sky Miles Properties
,"KSh 65,000,000",Kilimani,3,,,Kenya Classic Homes
,"KSh 75,000,000","Nyali, Nyali Area",4,,3035 m²,Benford Homes
,"KSh 6,200,000",Kitengela,3,,138 m²,Halsey Realtors
,"KSh 12,000,000",Kitengela,3,,235 m²,Litana Investments
,"KSh 12,500,000",Embakasi,3,,,Citiscape Valuers & Estate Agents Ltd
,"KSh 84,000,000","4, Bogani, Karen",5,,,
,"KSh 17,000,000",Syokimau,5,,464 m²,Litana Investments
,"KSh 95,000,000",Karen,5,,,Wealthlink Realtors Ltd
,"KSh 130,000,000","Runda, Westlands",7,,,Ring Kenya Ltd
,"KSh 40,000,000","Maziwa, Lavington",5,,,Lavington Property Management
,"KSh 4,500,000",Kitengela,3,,,RockSand Homes
,"KSh 65,000,000","Ndoto Road, Lavington",4,,370 m²,Olympia Gold Real Estate
,"KSh 14,200,000","Mtwapa Garden, Mtwapa",4,,,Tysons Limited
,"KSh 11,950,000","Bamburi, Mombasa CBD, Mombasa Island",4,,1670 ft²,Benford Homes
,"KSh 85,000,000","Lower Kabete Road, Lower Kabete, Westlands",3,,432 m²,Masterways Real Estate
,"KSh 97,000,000",Vipingo,4,,,Benford Homes
,"KSh 95,000,000","Greenpark Naivasha, Naivasha",5,,,Ryden International
,"KSh 6,000,000","Mlimani, Old Namanga, Kitengela",3,,140 m²,Vector Afriq Properties Ltd
,"KSh 40,750,000",Kiambu Road,4,,286 m²,Tysons Limited
,"KSh 24,500,000","Posta, La-marina Mtwapa, Mtwapa",4,,2000000 ft²,Sky Miles Properties
,"KSh 130,000,000",Karen,5,,,Prime Plush Properties
,"KSh 24,000,000","Nyali Area, Nyali",4,,,Benford Homes
,"KSh 75,000,000",Lavington,5,,,Bright Homes Management
,"KSh 59,000,000","Garden Estate, Roysambu",5,,,Pam Golding Properties
,"KSh 20,000,000","Tilisi City, Tigoni, Limuru",3,,,Abode Realty
,"KSh 14,500,000",Ngong,4,,464 m²,Litana Investments
,"KSh 58,000,000","Mt Kenya road, Mt Kenya Road, Nyali Area, Nyali",6,,,Samfrance properties
,"KSh 20,000,000","Nyali Area, Nyali",4,,,Tysons Limited
,"KSh 34,000,000","EDENVILLE ESTATE PHASE 1, Kiambu Road",4,,,Crystal Valuers LTD
,"KSh 16,000,000",Kitengela,4,,,Blu cherryDUPLICATE
,"KSh 8,500,000",Kitengela,3,,2300 ft²,Leilach Properties
,"KSh 75,000,000","Milima 75, Karen",5,,,Pam Golding Properties
,"KSh 6,250,000",Kenyatta Road,3,,,
,"KSh 150,000,000","Lower Kabete, Westlands",5,,,Sky Limits Ventures
,"KSh 50,000,000","Tigoni, Limuru",4,,,Nuru Breeze Homes Realty Limited
,"KSh 12,500,000",Ngong Road,2,,,Tysons Limited
,"KSh 180,000,000",Karen,4,,,Karengata Property Managers
,"KSh 33,000,000","Nyali Area, Nyali",4,,,Furaha Properties
,"KSh 16,000,000",Kitengela,4,,,Blu cherryDUPLICATE
,"KSh 11,000,000",Donholm,3,,,Landmark Realtors Ltd
,"KSh 17,000,000","Jumba Ruins, Mtwapa",3,,500 m²,Sky Miles Properties
,"KSh 78,000,000",Lavington,5,,,Kenya Valuers & Estate Agents
,"KSh 83,000,000",Karen,4,,,Wilnas Property Ltd
,"KSh 7,500,000","Mazola, Estate, Kitengela",3,,450 m²,Vector Afriq Properties Ltd
,"KSh 65,000,000",Karen,5,,,Tiki Properties
,"KSh 65,000,000","Mukoma road, Karen Hardy",5,,544 m²,Mapema Properties
,"KSh 27,000,000","Balozi Estate, Muthaiga",4,,,Royani Properties Limited
,Price not communicated,Muthaiga,4,,1 ac,Pam Golding Properties
,"KSh 60,000,000","amboseli road, Lavington",5,,,Real Management Services(2002) Limited
,"KSh 11,950,000","Bamburi, mombasa, Mombasa CBD, Mombasa Island",4,,1970 ft²,Benford Homes
,"KSh 20,000,000",Kitengela,5,,3500 ft²,Leilach Properties
,"KSh 35,000,000","Lantana Road, Westlands Area, Westlands",4,,,FAPCL Group
,"KSh 5,800,000","Yukos, Kitengela",3,,,Haki Homes
,"KSh 9,500,000",Juja,3,,,Pam Golding Properties
,"KSh 24,000,000",Kiambu Road,4,,,Canaan Properties
,"KSh 230,000,000","Gigiri, Westlands",5,,,Dakima Home International
,"KSh 61,000,000","Nyali Area, Nyali",4,,,Benford Homes
,"KSh 75,000,000","Nyali Area, Nyali",4,,,Furaha Properties
,"KSh 40,500,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 85,000,000",Watamu,4,,4602 ft²,Benford Homes
,"KSh 230,000,000","Gigiri, Westlands",5,,1 ac,Archstone Realtors
,"KSh 107,000,000",Karen Hardy,6,,600 m²,Glo Realtors
,"KSh 19,000,000",Nairobi West,3,,,Kenya Classic Homes
,"KSh 24,000,000",Namanga,3,,,Blue Falcon Estate Agent
,"KSh 11,500,000",Ongata Rongai,4,,4000 ft²,Litana Investments
,"KSh 51,000,000",Lavington,5,,,Havilaplus Estates Ltd
,"KSh 30,000,000",Langata,4,,,Royal Properties Market Limited
,"KSh 67,000,000","Creekside Mtwapa, Aloo drive, Mtwapa",3,,1 ac,Sky Miles Properties
,"KSh 30,000,000",Mtwapa,3,,1 ac,Furaha Properties
,"KSh 45,000,000","Njathaini, Kiambu road KIST, Thindigua",4,,10000 ft²,Premier Realty Estate Agents
,"KSh 19,000,000",Athi River,5,,,Pam Golding Properties
,"KSh 57,000,000","Nyali, Nyali Area",4,,3260 ft²,Benford Homes
,"KSh 75,000,000","O, Three Dee lane, Karen",4,,544 m²,Mapema Properties
,"KSh 40,000,000",Ongata Rongai,6,,,Prime Plush Properties
,"KSh 48,000,000","Nyali Area, Nyali",4,,,KRUSS Properties
,"KSh 65,000,000",Karen,4,,,Prime Plush Properties
,"KSh 55,000,000","Garden Estate, Roysambu",4,,,Pam Golding Properties
,"KSh 60,000,000",Lavington,4,,,Bright Homes Management
,"KSh 68,000,000",Karen,4,,400 m²,Nuru Breeze Homes Realty Limited
,"KSh 1,500,000","Kajiado County, Oletepesi, Kiserian",2,,96 m²,ODAH LIMITED
,"KSh 22,000,000",South C,4,,170 m²,Splendor Holdings
,"KSh 6,200,000","Impala Court, Acacia, Kitengela",3,,145 m²,Vector Afriq Properties Ltd
,"KSh 5,850,000","Kangundo Road, Mtoni Road, Joska, Kamulu Joska Malaa",3,,120 m²,CASTLE VILLAS LIMITED
,"KSh 17,000,000",Kitengela,4,,259 m²,Abec Real Estate
,"KSh 92,000,000","Serena, Shanzu",4,,3200 ft²,Benford Homes
,"KSh 75,000,000",Karen,5,,,AMAYA REALTORS
,"KSh 8,200,000","Muthiga, Waiyaki Way, Westlands",2,,,Olympia Gold Real Estate
,"KSh 115,000,000","Gigiri, Westlands",6,,,Stop Properties Real Estate
,"KSh 23,000,000",Langata,7,,273 m²,Tysons Limited
,"KSh 55,000,000","Grevillea Grove, Brookside, Westlands",4,,,Dunhill Consulting Limited
,"KSh 40,000,000","Near Burguret Nanyuki, Nanyuki",3,,,Ryden International
,"KSh 58,000,000","Amboseli, Lavington",5,,,Halifax Estate Agency
,"KSh 110,000,000","Ushirka road, Karen Hardy",5,,64888 m²,Mapema Properties
,"KSh 15,500,000",Kitengela,4,,5000 ft²,Litana Investments
,"KSh 100,000,000",Lavington,5,,670 m²,Palmier Properties Limited
,"KSh 90,000,000",Karen,4,,7400 m²,Value Zone Ltd
,"KSh 15,000,000",Ngong,5,,1800 ft²,Leilach Properties
,"KSh 110,000,000","Nyari Estate, Nyari, Westlands",6,,,Simkar Group Limited
,"KSh 5,800,000",Kitengela,3,,3200 ft²,Litana Investments
,"KSh 70,000,000","Muthaiga North, Muthaiga",4,,,Knight Frank Kenya
,"KSh 35,000,000",Kiambu Road,4,,,Villawatch Limited
,"KSh 20,000,000",Kileleshwa,2,,1603 ft²,Litana Investments
,"KSh 240,000,000","Old muthaiga, Muthaiga",7,,,Rockfield Management Ltd
,"KSh 43,000,000","nyali, Nyali Area, Nyali",5,,4360 ft²,Benford Homes
,"KSh 55,000,000",Karen,4,,,High-Tower Realtors
,"KSh 65,000,000","lavington, Lavington",4,,,Prudential Green Ville
,"KSh 6,200,000",Ongata Rongai,3,,4000 ft²,Litana Investments
,"KSh 5,800,000",Kitengela,4,,3200 ft²,Litana Investments
,"KSh 6,500,000","Mtwapa, Animo",3,,300 m²,Sky Miles Properties
,"KSh 72,000,000","nyali, Nyali Area, Nyali",4,,6280 ft²,Benford Homes
,"KSh 58,000,000","Nyali Area, Nyali",4,,2024 m²,Furaha Properties
,"KSh 20,600,000","Elgeyo Road, Eldoret",4,,,Villaways Homes
,"KSh 58,000,000","Mushroom Road, Kiambu Road",3,,2024 m²,Simkar Group Limited
,"KSh 60,000,000",Lavington,5,,,Marini Homes
,"KSh 40,000,000","Nyali Area, Nyali",4,,,Mombasa Real Estate Agencies Ltd
,"KSh 15,000,000",Kikambala,3,,,Furaha Properties
,"KSh 72,000,000","Runda, Westlands",4,,2023 m²,LIflac Properties
,"KSh 180,000,000","Bendera Lane, Spring Valley, Westlands",4,,,Pam Golding Properties
,"KSh 6,200,000",Kitengela,4,,135 m²,Halsey Realtors
,"KSh 480,000,000","Nyali Area, Nyali",5,,,Benford Homes
,"KSh 26,000,000",Langata,4,,,Pam Golding Properties
,"KSh 12,500,000","Green Park, Green Park Estate, Athi River",3,,180 m²,Homeowners Eye
,"KSh 35,000,000","Behind Citymall, Nyali Area, Nyali",4,,,Kimachas Enterprises
,"KSh 125,000,000","Loresho Ridge, Loresho, Westlands",5,,,Leissure Homes Kenya
,"KSh 150,000,000","Runda, Westlands",4,,,Karengata Property Managers
,"KSh 20,000,000",Imara Daima,4,,,Ring Kenya Ltd
,"KSh 50,000,000","katani, Syokimau",5,,,Blue Falcon Estate Agent
,"KSh 110,000,000","O, Karen hardy, Karen",6,,540 m²,Mapema Properties
,"KSh 145,000,000",Ridgeways,6,,,Coral Property International Ltd
,"KSh 22,580,000",South B,4,,,Pam Golding Properties
,"KSh 21,725,000",Syokimau,5,,,Olympia Gold Real Estate
,"KSh 30,000,000",Kiambu Road,4,,,Wealthlink Realtors Ltd
,"KSh 28,000,000",Bamburi,1,,,Furaha Properties
,"KSh 105,000,000","Lower Kabete, Westlands",5,,,Pam Golding Properties
,"KSh 50,000,000","La-marina, La-marina Mtwapa, Mtwapa",6,,1 ac,Sky Miles Properties
,"KSh 135,000,000","Kitisuru, Westlands",5,,,Coral Property International Ltd
,"KSh 108,500,000","Loresho, Westlands",5,,,Coral Property International Ltd
,"KSh 30,000,000","Mtomondoni Area, Mtwapa",4,,,Furaha Properties
,"KSh 5,250,000",Ukunda,3,,,Mizizi Africa Homes
,"KSh 120,000,000",Vipingo,5,,,Benford Homes
,"KSh 27,000,000","RUNDA, Fourways, Kiambu Road",4,,,Centrum Properties
,"KSh 27,000,000",Kenyatta Road,4,,5000 ft²,Litana Investments
,"KSh 3,800,000",Ongata Rongai,2,,95 m²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 29,500,000","Off Kiambu Road, Runda, Westlands",4,,195 m²,Leissure Homes Kenya
,"KSh 14,000,000",Kenyatta Road,5,,257 m²,
,"KSh 5,800,000",Kitengela,3,,128 m²,Halsey Realtors
,"KSh 6,200,000",Kitengela,3,,,Blu cherryDUPLICATE
,"KSh 39,000,000","Runda, Westlands",4,,220 m²,Splendor Holdings
,"KSh 118,000,000","Loresho, Westlands",5,,,Sky Limits Ventures
,"KSh 65,000,000",Kileleshwa,5,,450 m²,Splendor Holdings
,"KSh 160,000,000","Lower Kabete, Westlands",5,,,Leti Realty Limited
,"KSh 26,000,000",South C,4,,,Vector Afriq Properties Ltd
,"KSh 55,000,000","Karen Academy road, Karen",4,,540 m²,Mapema Properties
,"KSh 34,000,000","Kerarapon, Karen",4,,3000 ft²,Leilach Properties
,"KSh 20,500,000","Bandari Estate., Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 18,000,000",Ngumo Estate,3,,,Pinnacle Valuers
,"KSh 36,500,000","River Edge Estate, limuru road, Redhill",4,,506 m²,Royani Properties Limited
,"KSh 48,000,000","Convent drive Lavington, Lavington",4,,,Lavington Property Management
,"KSh 7,250,000","Kimunyu, Kenyatta Road",5,,,
,"KSh 37,500,000","within Great Rift Valley Lodge, Naivasha",4,,,Ryden International
,"KSh 105,000,000","Karen rd Nairobi, Karen",5,,700 m²,Westside Real Estate
,"KSh 45,850,000","Convent drive Lavington, Lavington",5,,,Lavington Property Management
,"KSh 95,000,000","Ololua estate, Karen",5,,545 m²,Mapema Properties
,"KSh 17,500,000","Tigoni, Limuru",4,,,Pam Golding Properties
,"KSh 55,000,000",Lavington,5,,,Leti Realty Limited
,"KSh 8,000,000","Kibiko, Ngong",3,,506 m²,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 100,000,000","Nyali Area, Nyali",5,,,Benford Homes
,"KSh 135,000,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 21,000,000",Ruiru,4,,4000 ft²,Litana Investments
,"KSh 60,000,000",Lavington,5,,,Hanspace Limited
,"KSh 120,000,000","Rosslyn lone tree Nairobi, Rosslyn, Westlands",5,,,Spacetech Enterprises
,"KSh 125,000,000","Nairobi, Runda, Westlands",5,,,Coral Property International Ltd
,"KSh 92,000,000","Runda, Westlands",6,,,Archstone Realtors
,"KSh 55,000,000",Karen,4,,,Prime Plush Properties
,"KSh 90,000,000","Nairobi, Kyuna, Westlands",4,,,Coral Property International Ltd
,"KSh 13,000,000","Vipingo,vipingo,kilifi, Vipingo ,vipingo,kilifi, Vipingo",3,,500 m²,Samfrance properties
,"KSh 62,000,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 5,250,000",Kenyatta Road,3,,,Mizizi Africa Homes
,"KSh 48,000,000","beach road, Nyali Area, Nyali",3,,,Benford Homes
,"KSh 6,500,000","Mtwapa ANIMO Phase (3), Mtwapa",3,,,BLISS HOMES
,"KSh 27,000,000",Thika Road,4,,,Pam Golding Properties
,"KSh 6,500,000",Kileleshwa,1,,73 m²,Touchy Real Estate.
,"KSh 19,500,000","Eastern Bypass, Ruiru",4,,,MK PROPERTIES
,"KSh 7,500,000","Matasia, Ngong",3,,,Haki Homes
,"KSh 6,000,000",Kitengela,3,,,Halsey Realtors
,"KSh 18,500,000","Mtwapa, Posta",3,,600 m²,Sky Miles Properties
,"KSh 85,000,000","Karen Bongani road, Karen",6,,540 m²,Mapema Properties
,"KSh 45,000,000","Milimani, Kisumu",4,,,Ryden International
,"KSh 38,500,000","Braeburn, Bamburi",6,,500 ft²,Sky Miles Properties
,"KSh 50,000,000","Lavington Green, Lavington",5,,,Lavington Property Management
,"KSh 30,000,000",Thindigua,5,,3000000 m²,Hold Piece Ltd
,"KSh 62,000,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 55,000,000",Lavington,5,,395 m²,Glo Realtors
,"KSh 180,000,000",Karen,5,,655 m²,Glo Realtors
,"KSh 65,000,000",Vipingo,4,,,KRUSS Properties
,"KSh 65,000,000",Karen,4,,540 m²,Mapema Properties
,"KSh 13,000,000",Athi River,4,,464 m²,Litana Investments
,"KSh 13,100,000","1, Ruiru - Ruai Bypass, Eastern ByPass, Ruiru",4,,190 m²,Westside Real Estate
,"KSh 85,000,000","Paradise Lost, Kiambu Road",4,,,Wealthlink Realtors Ltd
,"KSh 32,000,000",Kiambu Road,4,,,Jakharris Africa Ltd
,"KSh 43,000,000",Lavington,5,,,Leti Realty Limited
,"KSh 75,000,000","Karen , galleria, Karen",5,,544 m²,Mapema Properties
,"KSh 30,000,000",Mtwapa,3,,,Keensell Ventures LTD
,"KSh 40,000,000",Diani,3,,,Furaha Properties
,Price not communicated,"Miotoni, Karen",5,,,Pam Golding Properties
,"KSh 5,500,000",Kitengela,4,,140 m²,Halsey Realtors
,"KSh 38,000,000",Diani,3,,,Furaha Properties
,"KSh 160,000,000","Lower Kabete, Westlands",5,,,Bright Homes Management
,"KSh 100,000,000",Lavington,6,,400 m²,Jubilee Real Estate
,"KSh 20,000,000",Malindi,4,,,Furaha Properties
,"KSh 13,000,000","Nyali Area, Nyali",4,,,Joslink Property Group
,"KSh 5,500,000",Kitengela,4,,142 m²,Halsey Realtors
,"KSh 199,000,000","Runda, Westlands",6,,1 ac,Archstone Realtors
,"KSh 180,000,000","Runda, Westlands",5,,,LIflac Properties
,"KSh 12,000,000",Kitengela,4,,,Marini Homes
,"KSh 13,850,000","Kenyatta road, Juja",4,,,Nairobi and Beyond Realty
,"KSh 27,000,000",Kileleshwa,4,,,Leti Realty Limited
,"KSh 25,000,000",Ngong,4,,,The Closers Homes Limited
,"KSh 55,000,000","Tigoni, Limuru",4,,,Leti Realty Limited
,"KSh 70,000,000","Nyali Area, Nyali",5,,,Furaha Properties
,"KSh 8,500,000",Ngong,3,,4000 ft²,Litana Investments
,"KSh 6,500,000",Kitengela,3,,145 m²,Halsey Realtors
,"KSh 250,000,000","Glory drive, Runda, Westlands",7,,,Premier Realty Estate Agents
,"KSh 125,000,000","Kitisuru, Westlands",6,,,Knight Frank Kenya
,"KSh 400,000,000","Kitisuru, Westlands",5,,1 ac,Jubilee Real Estate
,"KSh 23,000,000",Buruburu,4,,,Pam Golding Properties
,"KSh 133,000,000","Mombasa Road,Mlolongo, Athi River",6,,,Coral Property International Ltd
,"KSh 83,000,000","Peponi Road, Westlands Area, Westlands",4,,6200 ft²,Coral Property International Ltd
,"KSh 12,500,000",Mtwapa,4,,,KRUSS Properties
,"KSh 95,000,000","Lower Kabete, Westlands",5,,,Royal Properties Market Limited
,"KSh 16,000,000",Ngong,4,,1500 ft²,Leilach Properties
,"KSh 100,000,000","Lower Kabete, Westlands",6,,,Jubilee Real Estate
,"KSh 14,500,000","Ngong, Kibiku",4,,,Skybraze homes
,"KSh 50,000,000","lavington, Lavington",5,,,Prudential Green Ville
,"KSh 12,000,000",Kitengela,4,,158 m²,Halsey Realtors
,"KSh 12,000,000","Naivas Bamburi, Bamburi",4,,,BLISS HOMES
,"KSh 95,000,000","Vipingo Golf Estate, Kilifi, Vipingo",5,,1 ac,Sir Francis Marketing &#38; Consultants Ltd
,"KSh 55,000,000","Lantana Coral Drive, Nyali Area, Nyali",4,,,Knight Frank Kenya
,"KSh 6,500,000","Mtwapa mtwapa, Mtwapa",3,,4800 ft²,Samfrance properties
,"KSh 12,000,000",Ongata Rongai,4,,4000 ft²,Litana Investments
,"KSh 29,000,000","KIBOKONI ESTATE, Malindi",3,,,Ryden International
,"KSh 5,850,000",Juja,3,,,Blu cherryDUPLICATE
,"KSh 105,000,000",Lavington,6,,,FAPCL Group
,"KSh 110,000,000","Kitisuru, Westlands",5,,,Origin Homes
,"KSh 47,000,000",Kiambu Road,4,,418 m²,Wealthlink Realtors Ltd
,"KSh 56,000,000","Brookside, Westlands",4,,,Falcon Sight Properties
,"KSh 5,500,000","Matasia, Ngong",3,,450 m²,Homeken Limited
,"KSh 45,000,000","Muthangari, Westlands Area, Westlands",5,,,Laser Property Services Ltd
,"KSh 6,000,000","Governors Road, Milimani, Kitengela",4,,130 m²,Habitat Realtors International Limited
,"KSh 12,000,000",Shanzu,2,,,Furaha Properties
,"KSh 20,000,000","Sultan, Kikambala",3,,3000 m²,Sky Miles Properties
,"KSh 85,000,000","Loresho, Westlands",4,,,Trisums Investments Company Ltd
,"KSh 8,950,000",Bamburi,4,,,Highrise Properties Ltd
,"KSh 8,950,000","bamburi, Bamburi",4,,1680 ft²,Benford Homes
,"KSh 42,500,000","Nyali Area, Nyali",4,,,KRUSS Properties
,"KSh 13,000,000","Mombasa road, Athi River",3,,,Pam Golding Properties
,"KSh 9,000,000",Utawala,3,,1332 ft²,Tysons Limited
,"KSh 17,000,000",Kitengela,4,,,Prime Plush Properties
,"KSh 45,000,000",Lavington,4,,,Bright Homes Management
,"KSh 15,000,000",Kitengela,5,,,Blu cherryDUPLICATE
,"KSh 28,000,000",Kiambu Road,4,,,Citiscape Valuers & Estate Agents Ltd
,"KSh 7,000,000",Kitengela,3,,5000 ft²,Litana Investments
,"KSh 68,000,000",Lavington,4,,,Bright Homes Management
,"KSh 73,000,000",Lavington,4,,,Leti Realty Limited
,"KSh 7,800,000",Bamburi,2,,480 m²,Samfrance properties
,"KSh 35,000,000","Beach road, Nyali Area, Nyali",3,,500 m²,Samfrance properties
,"KSh 5,900,000","Rimpa, Ongata Rongai",3,,450 m²,Homeken Limited
,"KSh 8,500,000",Kenyatta Road,5,,,DOMINA HOMES
,Price not communicated,"The Green Heart Village, Kilifi",1,,,Ryden International
,"KSh 110,000,000","00105, Loresho ridge, Loresho, Westlands",5,,560 m²,Royal Settlers
,"KSh 65,000,000",Lavington,4,,,Bright Homes Management
,"KSh 18,000,000",Ngong,5,,2500 ft²,Leilach Properties
,"KSh 5,500,000",Kamangu,4,,,Citywing Consult
,"KSh 32,000,000","Runda Paradise Estate, Runda, Westlands",4,,,Ashgate Limited
,"KSh 40,000,000","Brookside, Westlands",5,,,Leti Realty Limited
,"KSh 150,000,000",Kilifi,5,,,Benford Homes
,"KSh 16,200,000",Ruaka,4,,200 m²,AXIS ASSETS LTD
,"KSh 32,000,000","Runda, Westlands",4,,505 m²,LIflac Properties
,"KSh 6,900,000","Amino mtwapa, Mtwapa",3,,,Kimachas Enterprises
,"KSh 80,000,000",Lavington,5,,540 m²,Valleyview Realtors
,"KSh 55,000,000","Kahawa Sukari, Roysambu",5,,450 m²,Kenya Classic Homes
,"KSh 6,200,000",Kitengela,3,,,Blu cherryDUPLICATE
,"KSh 7,500,000","Mugutha, Ruiru",3,,,MK PROPERTIES
,"KSh 90,000,000",Karen,5,,650 m²,Splendor Holdings
,"KSh 45,000,000","shanzu Serena, Shanzu",4,,3687 ft²,Benford Homes
,"KSh 30,000,000","vipingo, Vipingo",4,,3602 ft²,Benford Homes
,"KSh 180,000,000",Karen,5,,,Wealthlink Realtors Ltd
,"KSh 45,000,000","Aloo drive, Mtwapa creekside, Mtwapa",4,,1 ac,Sky Miles Properties
,"KSh 70,000,000","Convent Road, Lavington",5,,,Dunhill Consulting Limited
