property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 75,000,000","Riverside, Westlands",5,,,Coral Property International Ltd
,"KSh 55,000,000","Windradge, Karen",4,,21780 m²,Homeken Limited
,"KSh 85,000,000",Lavington,5,,,Olympia Gold Real Estate
,"KSh 29,000,000",Kilimani,4,,,Glo Realtors
,"KSh 18,000,000",Syokimau,4,,,Kraft Fiction
,"KSh 6,000,000","milimani, Kitengela",3,,,Vector Afriq Properties Ltd
,"KSh 28,000,000",Kitengela,6,,,Prime Plush Properties
,"KSh 250,000,000","Runda, Westlands",5,,2023 m²,LIflac Properties
,"KSh 15,000,000","Kamakis, Ruiru",5,,,Royani Properties Limited
,"KSh 25,500,000","Kamakis, Ruiru",5,,5000 ft²,Litana Investments
,"KSh 50,000,000",Kiambu Road,3,,,Crystal Valuers LTD
,"KSh 10,000,000","0415p/416p, Riverbank Estate, South B",3,,1650 ft²,Ace Realtors Limited
,"KSh 19,000,000","Nyali, beach road, Bamburi",4,,,Benford Homes
,"KSh 28,800,000",Kileleshwa,5,,,Lavington Property Management
,"KSh 65,000,000","Kitisuru, Westlands",4,,2860 ft²,Tysons Limited
,"KSh 52,000,000",Lavington,5,,300 m²,Kenya Classic Homes
,"KSh 34,000,000","Loresho, Westlands",4,,,Leti Realty Limited
,"KSh 14,000,000",Limuru,4,,,Wainaina Real Estate Agents
,"KSh 36,000,000","La-Marina Estate, Mtwapa",3,,10000 ft²,BLISS HOMES
,"KSh 180,000,000",Muthaiga,4,,2024 m²,Jubilee Real Estate
,"KSh 8,000,000",Ngong,4,,2800 ft²,Leilach Properties
,"KSh 150,000,000","Runda Nairobi, Runda, Westlands",5,,,Spacetech Enterprises
,"KSh 45,000,000","Masai Lodge Road, Ongata Rongai",6,,,Trelisa Properties
,"KSh 110,000,000",Lavington,6,,,Splendor Holdings
,"KSh 67,000,000","Fana road, Karen",5,,566 m²,Mapema Properties
,"KSh 29,500,000",Kiambu Road,5,,,Sky Limits Ventures
,"KSh 85,000,000","Near Ikigai, Lower Kabete, Westlands",5,,560 m²,Westside Real Estate
,"KSh 14,000,000","Athi River, Mombasa Road",4,,155 m²,The Manis Real Estate
,"KSh 79,000,000",Lavington,4,,,Pam Golding Properties
,"KSh 250,000,000","O, Karen bagathi ridge, Karen",5,,540 m²,Mapema Properties
,"KSh 56,000,000","Alozi estate Rd, Garden Estate, Roysambu",5,,,Crystal Valuers LTD
,"KSh 85,000,000",Lavington,4,,500 m²,Kenya Classic Homes
,"KSh 6,000,000",Kitengela,3,,,Blu cherryDUPLICATE
,"KSh 80,000,000","O, Karen mukoma road, Karen",4,,540 m²,Mapema Properties
,"KSh 55,000,000",Karen,4,,544 m²,Mapema Properties
,Price not communicated,"BURGURET,NEAR WALDORF SCHOOL, Nanyuki",7,,,Ryden International
,"KSh 100,000,000","Nairobi, Camphor Road, Runda, Westlands",5,,,Coral Property International Ltd
,"KSh 36,000,000",Lavington,4,,2500 ft²,Leilach Properties
,"KSh 17,500,000","Near Serena Hotel, Shanzu",4,,,Furaha Properties
,"KSh 32,250,000",Kiambu Road,3,,242 m²,Tysons Limited
,"KSh 17,000,000",Mtwapa,3,,500 m²,Samfrance properties
,"KSh 6,700,000","Baraka Estate, Kitengela",3,,,Ryden International
,"KSh 90,000,000","Rosslyn, Westlands",6,,,Cura International
,"KSh 7,500,000","Ngong - Matasia road, Ngong road, Ngong",4,,167 m²,Homeken Limited
,"KSh 47,000,000",Kiambu Road,4,,,Hold Piece Ltd
,"KSh 150,000,000","O, Karen bomas of kenya, Karen",5,,540 m²,Mapema Properties
,"KSh 8,500,000",Athi River,3,,107 m²,Tysons Limited
,"KSh 6,300,000",Kitengela,3,,450 m²,Homeken Limited
,"KSh 29,500,000","Runda, Westlands",4,,,Palmier Properties Limited
,"KSh 90,000,000","Gated Community, Lower Kabete, Westlands",3,,,Trendy Living
,"KSh 33,000,000","Kerarapon, Karen",4,,,Kraft Fiction
,"KSh 80,000,000","mukoma road, Karen",4,,,Mapema Properties
,"KSh 82,000,000",Karen,6,,,Wilnas Property Ltd
,"KSh 250,000,000","RUNDA, Runda, Westlands",7,,,Wainaina Real Estate Agents
,"KSh 9,000,000","mukokoa court, Komarock",5,,,Ring Kenya Ltd
,"KSh 6,200,000",Kitengela,4,,,Halsey Realtors
,"KSh 8,000,000","katani, Syokimau",3,,,Vector Afriq Properties Ltd
,"KSh 20,000,000","Mwananchi Rd, Syokimau",4,,300 m²,Jayhenrys Holdings Limited
,"KSh 65,000,000","Simba road, Nyali Area, Nyali",4,,,Samfrance properties
,"KSh 11,500,000","Buruburu Ph v, Buruburu",3,,,Red Knot  Properties Limited
,"KSh 12,500,000",Ngong,3,,3000 ft²,Leilach Properties
