title,author,length
Valkyrie Rising,By: Peter Gibbons,Length: 8 hrs and 57 mins
Blue Burn,By: M.R. Forbes,Length: 7 hrs and 47 mins
Chat GPT: Is the Future Already Here?,By: Rodrigo Serzedello,Length: 51 mins
How to Win Friends & Influence People,By: Dale Carnegie,Length: 7 hrs and 15 mins
Think and Grow Rich,By: Napoleon Hill,Length: 9 hrs and 35 mins
Dune,By: Frank Herbert,Length: 21 hrs and 2 mins
The Way of Kings,By: Brandon Sanderson,Length: 45 hrs and 30 mins
The Total Money Makeover,By: Dave Ramsey,Length: 3 hrs and 41 mins
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Dragon,By: Kat Blackthorne,Length: 10 hrs and 14 mins
Reclusive Mage,By: Inadvisably Compelled,Length: 12 hrs and 27 mins
Lassiter,By: J.R. Ward,Length: 15 hrs
Living Resistance,By: Kaitlin B. Curtice,Length: 5 hrs and 17 mins
Old Babes in the Wood,By: Margaret Atwood,Length: 8 hrs and 44 mins
Archer's Voice,By: Mia Sheridan,Length: 11 hrs and 7 mins
Dark Matter,By: Blake Crouch,Length: 10 hrs and 8 mins
As a Man Thinketh,By: James Allen,Length: 55 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
A Gentleman in Moscow,By: Amor Towles,Length: 17 hrs and 52 mins
The Simple Path to Wealth,By: JL Collins,Length: 6 hrs and 38 mins
The Handmaid's Tale,By: Margaret Atwood,Length: 11 hrs and 1 min
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
Empire of the Summer Moon,By: S. C. Gwynne,Length: 15 hrs and 9 mins
A Short History of Nearly Everything,By: Bill Bryson,Length: 18 hrs and 13 mins
Billy the Barbarian: The Omnibus,By: Virgil Knightley,Length: 21 hrs and 53 mins
Quantum Radio,By: A.G. Riddle,Length: 14 hrs and 59 mins
We Are Legion (We Are Bob),By: Dennis E. Taylor,Length: 9 hrs and 56 mins
Ready Player One,By: Ernest Cline,Length: 15 hrs and 40 mins
The Devil in the White City,By: Erik Larson,Length: 14 hrs and 58 mins
Dragon,By: Kat Blackthorne,Length: 10 hrs and 14 mins
Reclusive Mage,By: Inadvisably Compelled,Length: 12 hrs and 27 mins
Lassiter,By: J.R. Ward,Length: 15 hrs
Living Resistance,By: Kaitlin B. Curtice,Length: 5 hrs and 17 mins
Old Babes in the Wood,By: Margaret Atwood,Length: 8 hrs and 44 mins
Archer's Voice,By: Mia Sheridan,Length: 11 hrs and 7 mins
Dark Matter,By: Blake Crouch,Length: 10 hrs and 8 mins
As a Man Thinketh,By: James Allen,Length: 55 mins
Killers of the Flower Moon,By: David Grann,Length: 9 hrs and 4 mins
A Gentleman in Moscow,By: Amor Towles,Length: 17 hrs and 52 mins
The Simple Path to Wealth,By: JL Collins,Length: 6 hrs and 38 mins
The Handmaid's Tale,By: Margaret Atwood,Length: 11 hrs and 1 min
World War Z: The Complete Edition,By: Max Brooks,Length: 12 hrs and 9 mins
Empire of the Summer Moon,By: S. C. Gwynne,Length: 15 hrs and 9 mins
A Short History of Nearly Everything,By: Bill Bryson,Length: 18 hrs and 13 mins
Billy the Barbarian: The Omnibus,By: Virgil Knightley,Length: 21 hrs and 53 mins
Quantum Radio,By: A.G. Riddle,Length: 14 hrs and 59 mins
Badges of Dorkdom: The Complete Series,By: Theo Hodges,Length: 40 hrs and 17 mins
The Girlfriend,By: K.L. Slater,Length: 8 hrs and 28 mins
Queen of Shadows,By: Sarah J. Maas,Length: 20 hrs and 43 mins
Thiaoouba Prophecy: The Golden Planet,By: Michel Desmarquet,Length: 8 hrs and 20 mins
Tempted by Danger,By: Endiya Carter,Length: 12 hrs and 17 mins
The Longest Race,"By: Kara Goucher, Mary Pilon",Length: 8 hrs and 48 mins
Brain Energy,By: Christopher M. Palmer MD,Length: 12 hrs and 18 mins
The Power to Change,By: Craig Groeschel,Length: 5 hrs and 42 mins
Godly Wars,By: Brad Magnarella,Length: 9 hrs and 5 mins
Fierce Betrayal,By: Sadie Kincaid,Length: 9 hrs and 30 mins
The Fine Print,By: Lauren Asher,Length: 11 hrs and 8 mins
King of the Shadow Fae,By: Amelia Hutchins,Length: 8 hrs and 32 mins
Flowers for the Devil,By: Vlad Kahany,Length: 11 hrs and 28 mins
Murder at an Irish Bakery,By: Carlene O'Connor,Length: 9 hrs and 32 mins
Pink Moon,"By: Annabel Chase, Tana Grey",Length: 5 hrs and 59 mins
No Strangers Here,By: Carlene O'Connor,Length: 12 hrs and 26 mins
The Rise and Fall of the Third Reich,By: William L. Shirer,Length: 57 hrs and 11 mins
Imperium Descent: Volume I,By: Christopher Hopper,Length: 15 hrs
Backpacking Through Bedlam,By: Seanan McGuire,Length: 12 hrs and 54 mins
The Perfumist of Paris,By: Alka Joshi,Length: 11 hrs and 44 mins
In a Jam,By: Kate Canterbary,Length: 15 hrs and 54 mins
The House at the End of the World,By: Dean Koontz,Length: 10 hrs and 22 mins
Secret Tradecraft of Elite Advisors,By: David C. Baker,Length: 3 hrs and 5 mins
Gilded Girl,By: Pamela M. Kelley,Length: 7 hrs and 9 mins
Slenderman,By: Kathleen Hale,Length: 9 hrs and 31 mins
Tears of Liscor,By: pirateaba,Length: 42 hrs and 3 mins
The Courage to Be Free,By: Ron DeSantis,Length: 8 hrs and 59 mins
Earthside,By: Dennis E. Taylor,Length: 8 hrs and 55 mins
Mistakes and Miracles,"By: Nancy Palmer Jones, Karin Lin",Length: 14 hrs and 48 mins
Little Bird,By: Ria Wilde,Length: 6 hrs and 18 mins
The Spirit of Harriet Tubman,By: Spring Washam,Length: 6 hrs and 26 mins
